bandid,Capillaria sp,Eimeria sp,Ascarids,Syngamus sp,Tetrameres sp,Isospora sp,Monocystis sp,Raillietina sp,Choanotaenia sp,Strongylid
8755,0,0,0,0,0,0,0,0,0,0
8756,0,1,0,0,0,0,0,0,0,0
8757,0,0,0,0,0,0,0,0,0,0
8758,0,0,0,0,0,0,0,0,0,0
8759,0,1,0,0,0,0,0,0,0,0
8769,0,0,0,0,0,0,0,0,0,0
8771,0,0,0,0,0,0,0,0,0,0
8773,0,0,1,0,0,0,0,0,0,0
8803,0,0,0,0,0,0,0,0,0,0
8805,0,0,0,0,0,0,0,0,0,0
8807,1,1,0,0,0,0,0,0,0,0
8809,0,0,0,0,0,0,0,0,0,0
8810,0,0,0,0,0,0,0,0,0,0
8811,1,0,0,0,0,0,0,0,0,0
8813,0,0,0,0,0,0,0,0,0,0
8903,0,0,0,0,0,0,0,0,0,0
8906,0,0,0,0,0,0,0,0,0,0
8907,0,1,1,0,1,0,0,0,0,0
8909,0,1,0,0,1,0,0,0,0,0
8952,0,0,0,0,0,0,0,0,0,0
8953,1,0,1,0,0,0,0,0,0,0
8955,1,0,0,0,0,0,0,0,0,0
8985,0,0,1,0,0,0,0,0,0,0
8986,0,0,1,0,0,0,0,0,0,0
8987,0,0,0,0,0,0,0,0,0,0
8989,0,1,1,0,0,0,0,0,0,0
8990,0,0,0,0,0,0,0,0,0,0
8991,0,0,0,0,0,0,0,0,0,0
8992,1,1,0,1,0,0,0,0,0,0
8993,0,0,0,0,0,0,0,0,0,0
8995,1,1,0,0,0,0,0,0,0,0
8997,0,1,0,0,0,0,0,0,0,0
8998,1,1,1,0,0,0,0,0,0,0
9000,1,1,0,0,0,0,0,0,0,0
9001,1,1,1,0,0,0,0,0,0,0
9002,0,1,0,0,0,0,0,0,0,0
9003,1,0,0,0,0,0,0,0,0,0
9004,1,0,0,0,0,0,0,0,0,0
9005,0,0,1,0,0,0,0,0,0,0
9006,1,0,0,0,0,0,0,0,0,0
9007,1,0,0,0,0,0,0,0,0,0
9015,1,0,0,0,0,0,0,0,0,0
9016,0,0,0,0,0,0,0,0,0,0
9017,1,0,0,0,0,0,0,0,0,0
9018,1,0,0,0,0,0,0,0,0,0
9019,1,1,0,0,0,0,0,0,0,0
9020,1,1,0,0,0,0,0,0,0,0
9021,0,0,0,0,0,0,0,0,0,0
9022,1,1,0,0,0,0,0,0,0,0
9023,0,0,0,0,0,0,0,0,0,0
9024,1,0,0,1,0,0,0,0,0,0
9025,1,0,0,0,0,0,0,0,0,0
9026,1,1,0,0,0,0,0,0,0,0
9027,0,0,0,0,0,0,0,0,0,0
9034,0,0,1,0,0,0,0,0,0,0
9036,1,1,1,0,0,0,0,0,0,0
9051,0,0,0,0,0,0,0,0,0,0
9054,0,0,0,0,0,0,0,0,0,0
9055,0,0,0,0,0,0,0,0,0,0
9057,1,0,0,0,0,0,0,0,0,0
9058,0,0,0,0,0,0,0,0,0,0
9059,0,0,0,0,0,0,0,0,0,0
9060,0,0,0,0,0,0,0,0,0,0
9061,0,0,0,0,0,0,0,0,0,0
9064,0,1,0,0,0,0,0,0,0,0
9065,1,0,0,0,0,0,0,0,0,0
9066,1,0,0,0,0,0,0,0,0,0
9067,1,0,0,0,0,0,0,0,0,0
9068,0,0,0,0,0,0,0,0,0,0
9070,1,0,0,0,0,0,0,0,0,0
9071,1,1,0,0,0,0,0,0,0,0
9072,0,1,0,0,0,0,0,0,0,0
9073,0,1,1,0,0,0,0,0,0,0
9074,0,0,0,0,0,0,0,0,0,0
9075,0,0,0,0,0,0,0,0,0,0
9076,0,0,0,0,0,0,0,0,0,0
9078,0,0,0,0,0,0,0,0,0,0
9079,0,0,0,0,0,0,0,0,0,0
9080,1,1,0,0,0,0,0,0,0,0
9081,0,0,0,0,0,0,0,0,0,0
9082,0,0,0,0,0,0,0,0,0,0
9083,0,0,0,0,0,0,0,0,0,0
9084,0,0,0,0,0,0,0,0,0,0
9085,0,1,0,0,0,0,0,0,0,0
9086,0,0,1,0,0,0,0,0,0,0
9087,0,0,0,0,0,0,0,0,0,0
9088,1,0,0,0,0,0,0,0,0,0
9090,1,1,1,0,0,0,0,0,0,0
9091,1,0,0,0,0,0,0,0,0,0
9092,1,1,0,0,0,0,0,0,0,1
9094,0,1,0,0,0,0,0,0,0,0
9095,0,0,0,0,0,0,0,0,0,0
