NestID,BandID,startI,endI,NestFate,geometry
8902_2023_2,8902,2023-06-08,2023-07-03,1,"c(1811512.49973589, 80129.8899019775)"
8902_2024_1,8902,2024-05-03,2024-05-13,1,"c(1809852.66206685, 81346.3385732583)"
8903_2023_1,8903,2023-04-22,2023-05-13,1,"c(1808876.8170594, 80235.2893280595)"
8905_2023_2,8905,2023-05-31,2023-06-06,0,"c(1808644.27870529, 78477.4886910672)"
8907_2023_1,8907,2023-05-15,2023-06-06,1,"c(1809928.41278, 81726.3290337478)"
8908_2023_2,8908,2023-05-31,2023-06-22,1,"c(1811472.48237277, 80522.6227235438)"
8909_2023_1,8909,2023-04-30,2023-05-03,0,"c(1806981.80518885, 80715.0463705416)"
8952_2023_2,8952,2023-07-18,2023-08-10,1,"c(1938104.6412829, 133755.984025083)"
8952_2024_1,8952,2024-05-15,2024-05-20,0,"c(1936405.27635514, 134131.093106321)"
8953_2023_1,8953,2023-06-14,2023-06-27,1,"c(1937403.6185754, 132033.75805726)"
8955_2023_3,8955,2023-07-14,2023-07-15,0,"c(1934605.53034689, 133558.254806023)"
8957_2024_1,8957,2024-05-21,2024-06-03,1,"c(1968690.62812626, 167509.441920736)"
8958_2024_1,8958,2024-05-02,2024-05-21,1,"c(1969307.50955836, 162990.581014955)"
8959_2024_2,8959,2024-06-01,2024-06-08,0,"c(1964083.9871664, 165818.851772846)"
8959_2024_1,8959,2024-04-23,2024-05-03,0,"c(1964178.60203335, 165394.153681611)"
8963_2024_2,8963,2024-05-21,2024-05-30,1,"c(1968670.2736606, 166163.395150437)"
8968_2024_2,8968,2024-06-05,2024-06-26,1,"c(1930375.75140516, 122229.978787492)"
8968_2024_1,8968,2024-04-19,2024-04-24,0,"c(1930876.89922711, 122176.029496205)"
8970_2024_1,8970,2024-05-16,2024-06-07,1,"c(1934893.61482958, 127006.621876702)"
8972_2024_1,8972,2024-05-02,2024-05-10,1,"c(1966397.92512156, 153627.632693547)"
8995_2023_1,8995,2023-06-01,2023-06-17,1,"c(1922522.61274843, 150813.143771813)"
8997_2023_2,8997,2023-05-28,2023-06-04,0,"c(1942512.4929345, 185856.504082113)"
8997_2024_1,8997,2024-04-19,2024-04-24,0,"c(1942741.52347634, 186491.583609249)"
8997_2024_3,8997,2024-05-30,2024-06-11,1,"c(1942817.81846564, 186932.282466159)"
8998_2023_1,8998,2023-04-28,2023-05-08,0,"c(1942285.35743653, 183226.704071603)"
9000_2023_1,9000,2023-04-28,2023-05-12,0,"c(1942357.22952757, 184171.543961314)"
9001_2024_2,9001,2024-05-25,2024-06-04,0,"c(1940937.77118379, 182600.109962338)"
9002_2023_1,9002,2023-05-06,2023-05-13,0,"c(1948567.97326647, 189565.523994989)"
